nome,cpf,idade,data,endereco,estado
SR. VITOR GABRIEL SILVA,640.719.385-01,90,1933-12-06,"TREVO EMANUEL SILVA, 482
VILA TIROL
47847085 PEREIRA / AP",RONDÔNIA
CALEBE SANTOS,651.297.384-46,40,1984-03-06,"RECANTO MORAES, 7
ERNESTO NASCIMENTO
96497-621 DA ROSA / PB",RIO DE JANEIRO
MARIA JULIA CASTRO,164.750.293-43,76,1947-04-12,"RESIDENCIAL DE PEREIRA, 20
JATOBÁ
62127-165 GOMES DE SANTOS / AL",PERNAMBUCO
ARTHUR DA ROSA,085.167.249-30,53,1970-04-16,"PARQUE ALMEIDA, 66
VILA SUZANA SEGUNDA SEÇÃO
09805-686 SANTOS / SE",SANTA CATARINA
JUAN PEREIRA,520.876.319-21,68,1955-10-25,"RODOVIA DE PEREIRA, 51
ESTRELA
44830637 MENDES DE MORAES / BA",RIO DE JANEIRO
DRA. ANA LAURA RIBEIRO,210.764.589-20,69,1954-05-09,"ESPLANADA LAVÍNIA RAMOS
SÃO FRANCISCO
39467-536 DA MATA / SP",DISTRITO FEDERAL
MARIA CLARA ARAÚJO,960.342.175-80,41,1983-03-14,"PRAÇA CAVALCANTI, 65
CONJUNTO CELSO MACHADO
97788-105 VIEIRA / RO",PARANÁ
VITÓRIA OLIVEIRA,302.568.479-83,31,1993-03-10,"ESPLANADA MONTEIRO, 88
CONJUNTO PAULO VI
06403-281 MORAES / GO",RORAIMA
BENJAMIN OLIVEIRA,451.896.703-84,49,1974-05-16,"LADEIRA MONTEIRO, 57
VILA PRIMEIRO DE MAIO
76835-491 MOURA DOS DOURADOS / CE",ACRE
PIETRO BARROS,843.095.172-50,51,1972-08-19,"RECANTO LUIZ MIGUEL JESUS, 35
VILA AEROPORTO JARAGUÁ
50536-588 OLIVEIRA DE GOIÁS / PB",MINAS GERAIS
SAMUEL CAVALCANTI,520.679.841-01,89,1934-11-26,"LADEIRA DE PORTO, 38
NOVA AMERICA
91782042 BARROS DE DA MATA / TO",RORAIMA
IAN DA COSTA,384.172.609-78,23,2001-01-21,"VIA DE JESUS, 57
VILA DA AMIZADE
93849-206 CORREIA / PB",GOIÁS
DR. EMANUEL COSTA,736.581.942-19,55,1969-03-09,"LAGO CASTRO, 94
MARIANO DE ABREU
24415-900 PORTO / RJ",GOIÁS
LARISSA DA CRUZ,128.953.704-60,83,1940-11-22,"SETOR ISADORA DA ROSA, 583
CHÁCARA LEONINA
20125668 TEIXEIRA / RR",MATO GROSSO DO SUL
